"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 26 17:18:04 GMT 2022","Sun Jun 26 17:18:04 GMT 2022","0","tests","test_dummy","TestSuite","","","test_4",""
"passed","Sun Jun 26 17:17:55 GMT 2022","Sun Jun 26 17:17:55 GMT 2022","555","tests","test_9kovlev_get_episodes","TestCharacters","","","test_episoode_by_series",""
"passed","Sun Jun 26 17:17:58 GMT 2022","Sun Jun 26 17:17:58 GMT 2022","289","tests","test_9kovlev_toolsqa","TestAccountOptions","","","test_5_delete_user",""
"passed","Sun Jun 26 17:18:22 GMT 2022","Sun Jun 26 17:18:23 GMT 2022","463","tests","test_get_quotes","TestGetQuotes","","","test_get_all_quotes",""
"passed","Sun Jun 26 17:18:04 GMT 2022","Sun Jun 26 17:18:04 GMT 2022","0","tests","test_dummy","TestSuite","","","test_5",""
"passed","Sun Jun 26 17:18:04 GMT 2022","Sun Jun 26 17:18:04 GMT 2022","0","tests","test_dummy","TestSuite","","","test_2",""
"passed","Sun Jun 26 17:17:56 GMT 2022","Sun Jun 26 17:17:57 GMT 2022","444","tests","test_9kovlev_get_episodes","TestCharacters","","","test_test_first_episoode_invalid_id",""
"passed","Sun Jun 26 17:18:25 GMT 2022","Sun Jun 26 17:18:25 GMT 2022","351","tests","test_restful_booker_api","TestRestfulBooker","","","test_6_partial_update",""
"skipped","Sun Jun 26 17:18:04 GMT 2022","Sun Jun 26 17:18:04 GMT 2022","0","tests","test_dummy","TestSuite2","","","test_13",""
"passed","Sun Jun 26 17:17:57 GMT 2022","Sun Jun 26 17:17:58 GMT 2022","296","tests","test_9kovlev_toolsqa","TestAccountOptions","","","test_3_login_existing_user",""
"passed","Sun Jun 26 17:18:25 GMT 2022","Sun Jun 26 17:18:26 GMT 2022","77","tests","test_restful_booker_api","TestRestfulBooker","","","test_7_delete_booking",""
"passed","Sun Jun 26 17:18:15 GMT 2022","Sun Jun 26 17:18:16 GMT 2022","397","tests","test_get_characters","TestCharacters","","","test_character_by_invalid_name",""
"passed","Sun Jun 26 17:18:19 GMT 2022","Sun Jun 26 17:18:19 GMT 2022","343","tests","test_get_characters","TestCharacters","","","test_single_character",""
"passed","Sun Jun 26 17:18:10 GMT 2022","Sun Jun 26 17:18:10 GMT 2022","512","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_4_registration","Registration successful"
"passed","Sun Jun 26 17:18:20 GMT 2022","Sun Jun 26 17:18:21 GMT 2022","415","tests","test_get_episodes","TestEpisodes","","","test_episode_title_in_data",""
"skipped","Sun Jun 26 17:18:04 GMT 2022","Sun Jun 26 17:18:04 GMT 2022","0","tests","test_dummy","TestSuite2","","","test_14",""
"passed","Sun Jun 26 17:18:16 GMT 2022","Sun Jun 26 17:18:17 GMT 2022","446","tests","test_get_characters","TestCharacters","","","test_character_by_part_name",""
"passed","Sun Jun 26 17:18:25 GMT 2022","Sun Jun 26 17:18:25 GMT 2022","95","tests","test_restful_booker_api","TestRestfulBooker","","","test_5_update_booking",""
"passed","Sun Jun 26 17:18:04 GMT 2022","Sun Jun 26 17:18:04 GMT 2022","0","tests","test_dummy","TestSuite2","","","test_11",""
"passed","Sun Jun 26 17:17:58 GMT 2022","Sun Jun 26 17:17:58 GMT 2022","284","tests","test_9kovlev_toolsqa","TestAccountOptions","","","test_4_account_authorized",""
"passed","Sun Jun 26 17:18:23 GMT 2022","Sun Jun 26 17:18:23 GMT 2022","330","tests","test_get_quotes","TestGetQuotes","","","test_get_all_quotes_by_author",""
"passed","Sun Jun 26 17:18:00 GMT 2022","Sun Jun 26 17:18:00 GMT 2022","607","tests","test_book_store_account_version2","TestBookStore","","","test_generate_token","Generate token"
"skipped","Sun Jun 26 17:17:58 GMT 2022","Sun Jun 26 17:17:58 GMT 2022","0","tests","test_book_store_account","TestBookStore","","","test_4_account_authorized","checking user logged in or not"
"passed","Sun Jun 26 17:18:02 GMT 2022","Sun Jun 26 17:18:03 GMT 2022","1512","tests","test_book_store_account_version2","TestBookStore","","","test_user_get","get new user info"
"passed","Sun Jun 26 17:18:24 GMT 2022","Sun Jun 26 17:18:25 GMT 2022","445","tests","test_get_quotes","TestGetQuotes","","","test_get_random_quote_from_author",""
"passed","Sun Jun 26 17:18:19 GMT 2022","Sun Jun 26 17:18:20 GMT 2022","474","tests","test_get_characters","TestCharacters","","","test_single_character_invalid_id",""
"passed","Sun Jun 26 17:18:24 GMT 2022","Sun Jun 26 17:18:24 GMT 2022","654","tests","test_get_quotes","TestGetQuotes","","","test_get_random_quote",""
"skipped","Sun Jun 26 17:17:58 GMT 2022","Sun Jun 26 17:17:58 GMT 2022","0","tests","test_book_store_account","TestBookStore","","","test_5_user_delete","delete user"
"passed","Sun Jun 26 17:18:20 GMT 2022","Sun Jun 26 17:18:20 GMT 2022","771","tests","test_get_characters","TestCharacters","","","test_single_character_not_existing",""
"passed","Sun Jun 26 17:18:22 GMT 2022","Sun Jun 26 17:18:22 GMT 2022","379","tests","test_get_episodes","TestEpisodes","","","test_get_episode_by_id",""
"skipped","Sun Jun 26 17:17:58 GMT 2022","Sun Jun 26 17:17:58 GMT 2022","0","tests","test_book_store_account","TestBookStore","","","test_3_login","user login"
"passed","Sun Jun 26 17:17:56 GMT 2022","Sun Jun 26 17:17:56 GMT 2022","366","tests","test_9kovlev_get_episodes","TestCharacters","","","test_first_episoode_by_title",""
"passed","Sun Jun 26 17:17:57 GMT 2022","Sun Jun 26 17:17:57 GMT 2022","347","tests","test_9kovlev_toolsqa","TestAccountOptions","","","test_2_get_token",""
"passed","Sun Jun 26 17:18:16 GMT 2022","Sun Jun 26 17:18:16 GMT 2022","344","tests","test_get_characters","TestCharacters","","","test_character_by_name",""
"passed","Sun Jun 26 17:18:25 GMT 2022","Sun Jun 26 17:18:25 GMT 2022","73","tests","test_restful_booker_api","TestRestfulBooker","","","test_3_create_booking","Create booking"
"passed","Sun Jun 26 17:18:21 GMT 2022","Sun Jun 26 17:18:22 GMT 2022","436","tests","test_get_episodes","TestEpisodes","","","test_get_all_episodes",""
"passed","Sun Jun 26 17:18:04 GMT 2022","Sun Jun 26 17:18:04 GMT 2022","0","tests","test_dummy","TestSuite","","","test_1",""
"skipped","Sun Jun 26 17:17:58 GMT 2022","Sun Jun 26 17:17:58 GMT 2022","0","tests","test_book_store_account","TestBookStore","","","test_2_generate_token","Generate token"
"passed","Sun Jun 26 17:18:17 GMT 2022","Sun Jun 26 17:18:17 GMT 2022","380","tests","test_get_characters","TestCharacters","","","test_character_by_random",""
"passed","Sun Jun 26 17:18:04 GMT 2022","Sun Jun 26 17:18:07 GMT 2022","2381","tests","test_full_reqres_api_MiK","TestReqresAPI","","","test_1_check_list_users_pages","Getting the default list of users. Determining the number of pages and users."
"passed","Sun Jun 26 17:18:15 GMT 2022","Sun Jun 26 17:18:15 GMT 2022","838","tests","test_get_characters","TestCharacters","","","test_character_by_category_limit",""
"passed","Sun Jun 26 17:18:03 GMT 2022","Sun Jun 26 17:18:04 GMT 2022","526","tests","test_book_store_account_version2","TestBookStore","","","test_z_authorized","Authorized user"
